INFO 2026-07-07 07:57:11,158 autoreload 15304 22168 Watching for file changes with StatReloader
INFO 2026-07-07 08:19:05,902 basehttp 15304 9872 "OPTIONS /api/activity-logs/? HTTP/1.1" 200 0
INFO 2026-07-07 08:19:05,902 basehttp 15304 9760 "OPTIONS /api/activity-logs/? HTTP/1.1" 200 0
INFO 2026-07-07 08:19:05,964 basehttp 15304 9872 "GET /api/activity-logs/? HTTP/1.1" 200 1399
INFO 2026-07-07 08:19:06,028 basehttp 15304 9872 "GET /api/activity-logs/? HTTP/1.1" 200 1399
INFO 2026-07-07 08:19:24,623 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:19:48,005 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:19:48,038 basehttp 15304 9760 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 08:19:48,051 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:19:48,061 basehttp 15304 11256 "GET /api/departments/ HTTP/1.1" 200 1133
INFO 2026-07-07 08:19:48,101 basehttp 15304 10020 "GET /api/teams/ HTTP/1.1" 200 2186
INFO 2026-07-07 08:19:48,115 basehttp 15304 9760 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 08:19:48,118 basehttp 15304 11256 "GET /api/departments/ HTTP/1.1" 200 1133
INFO 2026-07-07 08:19:48,146 basehttp 15304 10020 "GET /api/teams/ HTTP/1.1" 200 2186
INFO 2026-07-07 08:20:17,992 basehttp 15304 10020 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:20:47,996 basehttp 15304 10020 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:21:17,867 basehttp 15304 10020 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:21:17,891 basehttp 15304 9872 "GET /api/documents/ HTTP/1.1" 200 52
INFO 2026-07-07 08:21:17,896 basehttp 15304 10020 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:21:17,926 basehttp 15304 9872 "GET /api/documents/ HTTP/1.1" 200 52
INFO 2026-07-07 08:21:17,929 basehttp 15304 18528 "GET /api/activity-logs/ HTTP/1.1" 200 1399
INFO 2026-07-07 08:21:17,935 basehttp 15304 9760 "GET /api/tickets/ HTTP/1.1" 200 1848
INFO 2026-07-07 08:21:17,968 basehttp 15304 18528 "GET /api/activity-logs/ HTTP/1.1" 200 1399
INFO 2026-07-07 08:21:17,979 basehttp 15304 9872 "GET /api/tickets/ HTTP/1.1" 200 1848
INFO 2026-07-07 08:21:17,991 basehttp 15304 11256 "GET /api/tasks/ HTTP/1.1" 200 6119
INFO 2026-07-07 08:21:18,044 basehttp 15304 9872 "GET /api/tasks/ HTTP/1.1" 200 6119
INFO 2026-07-07 08:21:47,870 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:22:17,862 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:22:47,867 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:23:17,869 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:23:47,865 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:24:17,868 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:24:47,860 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:25:17,875 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:25:47,876 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:26:17,868 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:26:47,868 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:27:17,899 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:27:47,868 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:28:17,937 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:28:47,868 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:29:17,875 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:29:47,862 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:30:17,885 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:30:47,874 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:31:17,879 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:31:47,871 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:32:17,868 basehttp 15304 9872 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:58:53,503 basehttp 15304 27508 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:58:54,479 basehttp 15304 27508 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:58:54,529 basehttp 15304 27620 "GET /api/tickets/ HTTP/1.1" 200 1848
INFO 2026-07-07 08:58:54,544 basehttp 15304 27620 "GET /api/documents/ HTTP/1.1" 200 52
INFO 2026-07-07 08:58:54,578 basehttp 15304 27620 "GET /api/activity-logs/ HTTP/1.1" 200 1399
INFO 2026-07-07 08:58:54,591 basehttp 15304 27620 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:58:54,629 basehttp 15304 27508 "GET /api/tasks/ HTTP/1.1" 200 6119
INFO 2026-07-07 08:58:54,630 basehttp 15304 27620 "GET /api/tickets/ HTTP/1.1" 200 1848
INFO 2026-07-07 08:58:54,656 basehttp 15304 27508 "GET /api/documents/ HTTP/1.1" 200 52
INFO 2026-07-07 08:58:54,668 basehttp 15304 27620 "GET /api/activity-logs/ HTTP/1.1" 200 1399
INFO 2026-07-07 08:58:54,732 basehttp 15304 27508 "GET /api/tasks/ HTTP/1.1" 200 6119
INFO 2026-07-07 08:59:25,080 basehttp 15304 27508 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 08:59:54,431 basehttp 15304 27508 "GET /api/notifications/ HTTP/1.1" 200 52
INFO 2026-07-07 09:00:01,142 basehttp 15304 27620 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 09:00:01,179 basehttp 15304 27620 "GET /api/departments/ HTTP/1.1" 200 1133
INFO 2026-07-07 09:00:01,220 basehttp 15304 27508 "GET /api/tasks/? HTTP/1.1" 200 6119
INFO 2026-07-07 09:00:01,230 basehttp 15304 27620 "GET /api/users/ HTTP/1.1" 200 892
INFO 2026-07-07 09:00:01,273 basehttp 15304 27508 "GET /api/departments/ HTTP/1.1" 200 1133
INFO 2026-07-07 09:00:01,323 basehttp 15304 27620 "GET /api/tasks/? HTTP/1.1" 200 6119
INFO 2026-07-07 09:00:02,678 basehttp 15304 27620 "GET /api/documents/ HTTP/1.1" 200 52
INFO 2026-07-07 09:00:02,700 basehttp 15304 27620 "GET /api/documents/ HTTP/1.1" 200 52
INFO 2026-07-07 09:00:02,705 basehttp 15304 27508 "GET /api/departments/ HTTP/1.1" 200 1133
